prefix,vendor_name
001495,Honeywell International
001832,Honeywell International
001C2D,Honeywell International
00203A,Honeywell International
00234C,Honeywell International
00265E,Honeywell International
002970,Honeywell International
002C82,Honeywell International
002F94,Honeywell International
0032A6,Honeywell International
0035B8,Honeywell International
0038CA,Honeywell International
003BDC,Honeywell International
003EEE,Honeywell International
004200,Honeywell International
004512,Honeywell International
004824,Honeywell International
004B36,Honeywell International
004E48,Honeywell International
00515A,Honeywell International
00546C,Honeywell International
00577E,Honeywell International
005890,Honeywell International
005BA2,Honeywell International
005DB4,Honeywell International
0060C6,Honeywell International
0063D8,Honeywell International
0066EA,Honeywell International
0069FC,Honeywell International
006D0E,Honeywell International
000666,Emerson Electric
000C15,Emerson Electric
00104B,Emerson Electric
00146E,Emerson Electric
001834,Emerson Electric
001C57,Emerson Electric
002069,Emerson Electric
00237B,Emerson Electric
00268D,Emerson Electric
00299F,Emerson Electric
002CB1,Emerson Electric
002FC3,Emerson Electric
0032D5,Emerson Electric
0035E7,Emerson Electric
0038F9,Emerson Electric
003C0B,Emerson Electric
003F1D,Emerson Electric
00422F,Emerson Electric
004541,Emerson Electric
004853,Emerson Electric
004B65,Emerson Electric
004E77,Emerson Electric
005189,Emerson Electric
00549B,Emerson Electric
0057AD,Emerson Electric
005ABF,Emerson Electric
005DD1,Emerson Electric
0060E3,Emerson Electric
0063F5,Emerson Electric
006607,Emerson Electric
006919,Emerson Electric
006C2B,Emerson Electric
000105,Beckhoff Automation
000AE6,Beckhoff Automation
0010B5,Beckhoff Automation
00143B,Beckhoff Automation
001861,Beckhoff Automation
001C60,Beckhoff Automation
002072,Beckhoff Automation
002384,Beckhoff Automation
002696,Beckhoff Automation
0029A8,Beckhoff Automation
002CBA,Beckhoff Automation
002FCC,Beckhoff Automation
0032DE,Beckhoff Automation
0035F0,Beckhoff Automation
003802,Beckhoff Automation
003B14,Beckhoff Automation
003E26,Beckhoff Automation
004138,Beckhoff Automation
00444A,Beckhoff Automation
00475C,Beckhoff Automation
004A6E,Beckhoff Automation
004D80,Beckhoff Automation
005092,Beckhoff Automation
0053A4,Beckhoff Automation
0056B6,Beckhoff Automation
0059C8,Beckhoff Automation
005CDA,Beckhoff Automation
005FEC,Beckhoff Automation
0062FE,Beckhoff Automation
006510,Beckhoff Automation
006822,Beckhoff Automation
00010F,Mitsubishi Electric
000A8B,Mitsubishi Electric
0010B3,Mitsubishi Electric
00144C,Mitsubishi Electric
001864,Mitsubishi Electric
001C4D,Mitsubishi Electric
00207F,Mitsubishi Electric
002391,Mitsubishi Electric
0026A3,Mitsubishi Electric
0029B5,Mitsubishi Electric
002CC7,Mitsubishi Electric
002FD9,Mitsubishi Electric
0032EB,Mitsubishi Electric
0035FD,Mitsubishi Electric
00380F,Mitsubishi Electric
003B21,Mitsubishi Electric
003E33,Mitsubishi Electric
004145,Mitsubishi Electric
004457,Mitsubishi Electric
004769,Mitsubishi Electric
004A7B,Mitsubishi Electric
004D8D,Mitsubishi Electric
00509F,Mitsubishi Electric
0053B1,Mitsubishi Electric
0056C3,Mitsubishi Electric
0059D5,Mitsubishi Electric
005CE7,Mitsubishi Electric
005FF9,Mitsubishi Electric
00630B,Mitsubishi Electric
00651D,Mitsubishi Electric
00682F,Mitsubishi Electric
006B41,Mitsubishi Electric
000244,Omron Corporation
000A34,Omron Corporation
00102B,Omron Corporation
00142D,Omron Corporation
00182F,Omron Corporation
001C5A,Omron Corporation
00205C,Omron Corporation
00237E,Omron Corporation
002690,Omron Corporation
0029A2,Omron Corporation
002CB4,Omron Corporation
002FD6,Omron Corporation
0032E8,Omron Corporation
0035FA,Omron Corporation
00380C,Omron Corporation
003B1E,Omron Corporation
003E30,Omron Corporation
004142,Omron Corporation
004454,Omron Corporation
004766,Omron Corporation
004A78,Omron Corporation
004D8A,Omron Corporation
00509C,Omron Corporation
0053AE,Omron Corporation
0056C0,Omron Corporation
0059D2,Omron Corporation
005CE4,Omron Corporation
005FF6,Omron Corporation
006308,Omron Corporation
00651A,Omron Corporation
00682C,Omron Corporation
006B3E,Omron Corporation
0006E4,Bosch Rexroth
000B5A,Bosch Rexroth
00106B,Bosch Rexroth
00147C,Bosch Rexroth
00188D,Bosch Rexroth
001C9E,Bosch Rexroth
0020AF,Bosch Rexroth
0023C0,Bosch Rexroth
0026D1,Bosch Rexroth
0029E2,Bosch Rexroth
002CF3,Bosch Rexroth
002F04,Bosch Rexroth
003215,Bosch Rexroth
003526,Bosch Rexroth
003837,Bosch Rexroth
003B48,Bosch Rexroth
003E59,Bosch Rexroth
00416A,Bosch Rexroth
00447B,Bosch Rexroth
00478C,Bosch Rexroth
004A9D,Bosch Rexroth
004DAE,Bosch Rexroth
0050BF,Bosch Rexroth
0053D0,Bosch Rexroth
0056E1,Bosch Rexroth
0059F2,Bosch Rexroth
005C03,Bosch Rexroth
005F14,Bosch Rexroth
006225,Bosch Rexroth
006536,Bosch Rexroth
00000D,Yaskawa Electric
000A4B,Yaskawa Electric
00105C,Yaskawa Electric
00146D,Yaskawa Electric
00187E,Yaskawa Electric
001C8F,Yaskawa Electric
0020A0,Yaskawa Electric
0023B1,Yaskawa Electric
0026C2,Yaskawa Electric
0029D3,Yaskawa Electric
002CE4,Yaskawa Electric
002FF5,Yaskawa Electric
003206,Yaskawa Electric
003517,Yaskawa Electric
003828,Yaskawa Electric
003B39,Yaskawa Electric
003E4A,Yaskawa Electric
00415B,Yaskawa Electric
00446C,Yaskawa Electric
00477D,Yaskawa Electric
004A8E,Yaskawa Electric
004D9F,Yaskawa Electric
0050B0,Yaskawa Electric
0053C1,Yaskawa Electric
0056D2,Yaskawa Electric
0059E3,Yaskawa Electric
005CF4,Yaskawa Electric
005F05,Yaskawa Electric
006216,Yaskawa Electric
006527,Yaskawa Electric
00000F,Fanuc Corporation
000A3C,Fanuc Corporation
00104D,Fanuc Corporation
00145E,Fanuc Corporation
00186F,Fanuc Corporation
001C80,Fanuc Corporation
002091,Fanuc Corporation
0023A2,Fanuc Corporation
0026B3,Fanuc Corporation
0029C4,Fanuc Corporation
002CD5,Fanuc Corporation
002FE6,Fanuc Corporation
0031F7,Fanuc Corporation
003408,Fanuc Corporation
003719,Fanuc Corporation
003A2A,Fanuc Corporation
003D3B,Fanuc Corporation
00404C,Fanuc Corporation
00435D,Fanuc Corporation
00466E,Fanuc Corporation
00497F,Fanuc Corporation
004C90,Fanuc Corporation
004FA1,Fanuc Corporation
0052B2,Fanuc Corporation
0055C3,Fanuc Corporation
0058D4,Fanuc Corporation
005BE5,Fanuc Corporation
005EF6,Fanuc Corporation
006107,Fanuc Corporation
006418,Fanuc Corporation
000304,Phoenix Contact
000A6B,Phoenix Contact
00107C,Phoenix Contact
00148D,Phoenix Contact
00189E,Phoenix Contact
001CAF,Phoenix Contact
0020C0,Phoenix Contact
0023D1,Phoenix Contact
0026E2,Phoenix Contact
0029F3,Phoenix Contact
002C04,Phoenix Contact
002F15,Phoenix Contact
003226,Phoenix Contact
003537,Phoenix Contact
003848,Phoenix Contact
003B59,Phoenix Contact
003E6A,Phoenix Contact
00417B,Phoenix Contact
00448C,Phoenix Contact
00479D,Phoenix Contact
004AAE,Phoenix Contact
004DBF,Phoenix Contact
0050D0,Phoenix Contact
0053E1,Phoenix Contact
0056F2,Phoenix Contact
005A03,Phoenix Contact
005D14,Phoenix Contact
006025,Phoenix Contact
006336,Phoenix Contact
000601,Wago Kontakttechnik
000A7C,Wago Kontakttechnik
00108D,Wago Kontakttechnik
00149E,Wago Kontakttechnik
0018AF,Wago Kontakttechnik
001CC0,Wago Kontakttechnik
0020D1,Wago Kontakttechnik
0023E2,Wago Kontakttechnik
0026F3,Wago Kontakttechnik
002904,Wago Kontakttechnik
002C15,Wago Kontakttechnik
002F26,Wago Kontakttechnik
003237,Wago Kontakttechnik
003548,Wago Kontakttechnik
003859,Wago Kontakttechnik
003B6A,Wago Kontakttechnik
003E7B,Wago Kontakttechnik
00418C,Wago Kontakttechnik
00449D,Wago Kontakttechnik
0047AE,Wago Kontakttechnik
004ABF,Wago Kontakttechnik
004DD0,Wago Kontakttechnik
0050E1,Wago Kontakttechnik
0053F2,Wago Kontakttechnik
005603,Wago Kontakttechnik
005914,Wago Kontakttechnik
005C25,Wago Kontakttechnik
005F36,Wago Kontakttechnik
006147,Wago Kontakttechnik
006458,Wago Kontakttechnik
000208,General Electric
000A5C,General Electric
00106D,General Electric
00147E,General Electric
00188F,General Electric
001CA0,General Electric
0020B1,General Electric
0023C2,General Electric
0026D3,General Electric
0029E4,General Electric
002CF5,General Electric
002F06,General Electric
003217,General Electric
003528,General Electric
003839,General Electric
003B4A,General Electric
003E5B,General Electric
00416C,General Electric
00447D,General Electric
00478E,General Electric
004A9F,General Electric
004DB0,General Electric
0050C1,General Electric
0053D2,General Electric
0056E3,General Electric
0059F4,General Electric
005C05,General Electric
005F16,General Electric
006227,General Electric
006538,General Electric
000C6E,Cisco Systems
001094,Cisco Systems
00146A,Cisco Systems
0018B1,Cisco Systems
001CBF,Cisco Systems
0020D4,Cisco Systems
0023E9,Cisco Systems
0026FA,Cisco Systems
00290B,Cisco Systems
002C1C,Cisco Systems
002F2D,Cisco Systems
00323E,Cisco Systems
00354F,Cisco Systems
003860,Cisco Systems
003B71,Cisco Systems
003E82,Cisco Systems
004193,Cisco Systems
0044A4,Cisco Systems
0047B5,Cisco Systems
004AC6,Cisco Systems
004DD7,Cisco Systems
0050E8,Cisco Systems
0053F9,Cisco Systems
00560A,Cisco Systems
00591B,Cisco Systems
005C2C,Cisco Systems
005F3D,Cisco Systems
00624E,Cisco Systems
00655F,Cisco Systems
00041A,Dell Technologies
0008D0,Dell Technologies
00105F,Dell Technologies
00143A,Dell Technologies
001815,Dell Technologies
001BE0,Dell Technologies
00204B,Dell Technologies
00236C,Dell Technologies
00268D,Dell Technologies
0029AE,Dell Technologies
002CCF,Dell Technologies
002FF0,Dell Technologies
003211,Dell Technologies
003532,Dell Technologies
003853,Dell Technologies
003B74,Dell Technologies
003E95,Dell Technologies
0041B6,Dell Technologies
0044D7,Dell Technologies
0047F8,Dell Technologies
004B19,Dell Technologies
004E3A,Dell Technologies
00515B,Dell Technologies
00547C,Dell Technologies
00579D,Dell Technologies
005ABE,Dell Technologies
005DDF,Dell Technologies
006100,Dell Technologies
006421,Dell Technologies
000807,HP Inc
000E7F,HP Inc
00105A,HP Inc
00143B,HP Inc
001817,HP Inc
001C5F,HP Inc
00204D,HP Inc
00236E,HP Inc
00268F,HP Inc
0029B0,HP Inc
002CD1,HP Inc
002FF2,HP Inc
003213,HP Inc
003534,HP Inc
003855,HP Inc
003B76,HP Inc
003E97,HP Inc
0041B8,HP Inc
0044D9,HP Inc
0047FA,HP Inc
004B1B,HP Inc
004E3C,HP Inc
00515D,HP Inc
00547E,HP Inc
00579F,HP Inc
005AC0,HP Inc
005DE1,HP Inc
006102,HP Inc
006423,HP Inc
000255,IBM Corporation
00096B,IBM Corporation
00104C,IBM Corporation
00145D,IBM Corporation
00186E,IBM Corporation
001C7F,IBM Corporation
002090,IBM Corporation
0023A1,IBM Corporation
0026B2,IBM Corporation
0029C3,IBM Corporation
002CD4,IBM Corporation
002FE5,IBM Corporation
0031F6,IBM Corporation
003407,IBM Corporation
003718,IBM Corporation
003A29,IBM Corporation
003D3A,IBM Corporation
00404B,IBM Corporation
00435C,IBM Corporation
00466D,IBM Corporation
00497E,IBM Corporation
004C8F,IBM Corporation
004FA0,IBM Corporation
0052B1,IBM Corporation
0055C2,IBM Corporation
0058D3,IBM Corporation
005BE4,IBM Corporation
005EF5,IBM Corporation
006106,IBM Corporation
006417,IBM Corporation
000D3A,Microsoft Corporation
00125A,Microsoft Corporation
00166F,Microsoft Corporation
001A8C,Microsoft Corporation
001ECF,Microsoft Corporation
0022B4,Microsoft Corporation
0025D5,Microsoft Corporation
0028F6,Microsoft Corporation
002C17,Microsoft Corporation
002F38,Microsoft Corporation
003259,Microsoft Corporation
00357A,Microsoft Corporation
00389B,Microsoft Corporation
003BBC,Microsoft Corporation
003EDD,Microsoft Corporation
0041FE,Microsoft Corporation
00451F,Microsoft Corporation
004840,Microsoft Corporation
004B61,Microsoft Corporation
004E82,Microsoft Corporation
0051A3,Microsoft Corporation
0054C4,Microsoft Corporation
0057E5,Microsoft Corporation
005B06,Microsoft Corporation
005E27,Microsoft Corporation
006148,Microsoft Corporation
006469,Microsoft Corporation
000A27,Apple Inc
000D93,Apple Inc
0010FA,Apple Inc
001451,Apple Inc
0017F2,Apple Inc
001B63,Apple Inc
001F5B,Apple Inc
002312,Apple Inc
0026B3,Apple Inc
0029F4,Apple Inc
002CF5,Apple Inc
002FF6,Apple Inc
003317,Apple Inc
003558,Apple Inc
003879,Apple Inc
003B9A,Apple Inc
003EBC,Apple Inc
0041DD,Apple Inc
0044FE,Apple Inc
00471F,Apple Inc
004A40,Apple Inc
004D61,Apple Inc
005082,Apple Inc
0053A3,Apple Inc
0056C4,Apple Inc
0059E5,Apple Inc
005C06,Apple Inc
005F27,Apple Inc
006248,Apple Inc
006569,Apple Inc
000100,Intel Corporation
000347,Intel Corporation
00068C,Intel Corporation
000BAB,Intel Corporation
000CF1,Intel Corporation
0010E3,Intel Corporation
001302,Intel Corporation
001676,Intel Corporation
001B21,Intel Corporation
001E64,Intel Corporation
002170,Intel Corporation
0024D6,Intel Corporation
002835,Intel Corporation
002B97,Intel Corporation
002EF1,Intel Corporation
003215,Intel Corporation
003557,Intel Corporation
003898,Intel Corporation
003BD9,Intel Corporation
003F1A,Intel Corporation
00425B,Intel Corporation
00459C,Intel Corporation
0048DD,Intel Corporation
004B1E,Intel Corporation
004E5F,Intel Corporation
0051A0,Intel Corporation
0054E1,Intel Corporation
005822,Intel Corporation
005B63,Intel Corporation
005EA4,Intel Corporation
0061E5,Intel Corporation
006526,Intel Corporation
00020A,Realtek Semiconductor
000E4C,Realtek Semiconductor
001217,Realtek Semiconductor
00156C,Realtek Semiconductor
0018E7,Realtek Semiconductor
001C02,Realtek Semiconductor
00204D,Realtek Semiconductor
002390,Realtek Semiconductor
0026D1,Realtek Semiconductor
002A12,Realtek Semiconductor
002D53,Realtek Semiconductor
003094,Realtek Semiconductor
0033D5,Realtek Semiconductor
003716,Realtek Semiconductor
003A57,Realtek Semiconductor
003D98,Realtek Semiconductor
0040D9,Realtek Semiconductor
00441A,Realtek Semiconductor
00475B,Realtek Semiconductor
004A9C,Realtek Semiconductor
004DDD,Realtek Semiconductor
00511E,Realtek Semiconductor
00545F,Realtek Semiconductor
0057A0,Realtek Semiconductor
005AE1,Realtek Semiconductor
005E22,Realtek Semiconductor
006163,Realtek Semiconductor
0064A4,Realtek Semiconductor
000102,Broadcom Inc
0002D3,Broadcom Inc
00055D,Broadcom Inc
0008FE,Broadcom Inc
000C15,Broadcom Inc
0010E3,Broadcom Inc
00133B,Broadcom Inc
00169C,Broadcom Inc
0019E3,Broadcom Inc
001CD1,Broadcom Inc
002013,Broadcom Inc
002314,Broadcom Inc
002615,Broadcom Inc
002916,Broadcom Inc
002C17,Broadcom Inc
002F18,Broadcom Inc
003219,Broadcom Inc
00351A,Broadcom Inc
00381B,Broadcom Inc
003B1C,Broadcom Inc
003E1D,Broadcom Inc
00411E,Broadcom Inc
00441F,Broadcom Inc
004720,Broadcom Inc
004A21,Broadcom Inc
004D22,Broadcom Inc
005023,Broadcom Inc
005324,Broadcom Inc
005625,Broadcom Inc
005926,Broadcom Inc
005C27,Broadcom Inc
005F28,Broadcom Inc
006229,Broadcom Inc
00652A,Broadcom Inc
000569,VMware Inc
000C29,VMware Inc
001017,VMware Inc
00133E,VMware Inc
00164F,VMware Inc
001960,VMware Inc
001C71,VMware Inc
001F82,VMware Inc
002293,VMware Inc
0025A4,VMware Inc
0028B5,VMware Inc
002BC6,VMware Inc
002ED7,VMware Inc
0031E8,VMware Inc
0034F9,VMware Inc
0037AA,VMware Inc
003ABB,VMware Inc
003DCC,VMware Inc
0040DD,VMware Inc
0043EE,VMware Inc
0046FF,VMware Inc
004910,VMware Inc
004C21,VMware Inc
004F32,VMware Inc
005243,VMware Inc
005554,VMware Inc
005865,VMware Inc
005B76,VMware Inc
005E87,VMware Inc
006198,VMware Inc
0064A9,VMware Inc
000C29,VirtualBox (Oracle)
001A4B,VirtualBox (Oracle)
001C42,VirtualBox (Oracle)
001E3F,VirtualBox (Oracle)
002041,VirtualBox (Oracle)
002342,VirtualBox (Oracle)
002643,VirtualBox (Oracle)
002944,VirtualBox (Oracle)
002C45,VirtualBox (Oracle)
002F46,VirtualBox (Oracle)
003247,VirtualBox (Oracle)
003548,VirtualBox (Oracle)
003849,VirtualBox (Oracle)
003B4A,VirtualBox (Oracle)
003E4B,VirtualBox (Oracle)
00414C,VirtualBox (Oracle)
00444D,VirtualBox (Oracle)
00474E,VirtualBox (Oracle)
004A4F,VirtualBox (Oracle)
004D50,VirtualBox (Oracle)
005051,VirtualBox (Oracle)
005352,VirtualBox (Oracle)
005653,VirtualBox (Oracle)
005954,VirtualBox (Oracle)
005C55,VirtualBox (Oracle)
005F56,VirtualBox (Oracle)
006257,VirtualBox (Oracle)
006558,VirtualBox (Oracle)
000009,3Com Corporation
000108,3Com Corporation
000307,3Com Corporation
000506,3Com Corporation
000705,3Com Corporation
000904,3Com Corporation
000B03,3Com Corporation
000E02,3Com Corporation
001101,3Com Corporation
001400,3Com Corporation
000663,Juniper Networks
000A5D,Juniper Networks
000F66,Juniper Networks
001132,Juniper Networks
00143D,Juniper Networks
00173E,Juniper Networks
001A4B,Juniper Networks
001D1E,Juniper Networks
00201F,Juniper Networks
002320,Juniper Networks
002621,Juniper Networks
002922,Juniper Networks
002C23,Juniper Networks
002F24,Juniper Networks
003225,Juniper Networks
003526,Juniper Networks
003827,Juniper Networks
003B28,Juniper Networks
003E29,Juniper Networks
00412A,Juniper Networks
00442B,Juniper Networks
00472C,Juniper Networks
004A2D,Juniper Networks
004D2E,Juniper Networks
00502F,Juniper Networks
005330,Juniper Networks
005631,Juniper Networks
005932,Juniper Networks
005C33,Juniper Networks
005F34,Juniper Networks
006235,Juniper Networks
006536,Juniper Networks
